retailer,title,price_eur,unit_measure,product_url,image_url,canonical_unit,canonical_unit_price
ALDI,Applewood Smoked Irish Ham,2.49,0.15 KG,https://www.aldi.ie/product/specially-selected-applewood-smoked-irish-ham-000000000404222003,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/74b7aa5b-a761-408f-9b4c-92f6c89ced69/Applewood%20Smoked%20Irish%20Ham,kg,16.6
ALDI,Traditional Irish Ham Shavings,2.19,0.13 KG,https://www.aldi.ie/product/specially-selected-traditional-irish-ham-shavings-000000000404241001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/f5208b4b-54b8-429b-a456-e328273da75a/Traditional%20Irish%20Ham%20Shavings,kg,16.846153846153847
ALDI,Traditional Irish Carved Ham,2.19,0.13 KG,https://www.aldi.ie/product/specially-selected-traditional-irish-carved-ham-000000000404241002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/6196fb27-2038-403a-b8c3-2c4d4b5196f7/Traditional%20Irish%20Carved%20Ham,kg,16.846153846153847
ALDI,Irish Crumbed Ham Shavings,2.99,0.15 KG,https://www.aldi.ie/product/specially-selected-crumbled-deli-express-ham-000000000405061002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/60dd29d5-bfd0-4b56-8765-ca6f6ffed480/Irish%20Crumbed%20Ham%20Shavings,kg,19.933333333333337
ALDI,Honey Roast Irish Ham,2.49,0.32 KG,https://www.aldi.ie/product/brannans-honey-roast-irish-ham-000000000405474002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/c6a6949c-2135-4eed-8c3d-a8a4550e2e8e/Honey%20Roast%20Irish%20Ham,kg,7.781250000000001
ALDI,Wafer Thin Carved Ham,1.49,0.125 KG,https://www.aldi.ie/product/brannans-wafer-thin-carved-ham-125g-000000000546974001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/6bc3ea65-8897-417c-8e69-cc9daa6f00c2/Wafer%20Thin%20Carved%20Ham,kg,11.92
ALDI,Minions Ham 7 Pack,1.49,100 G,https://www.aldi.ie/product/despicable-me-minions-ham-7-pack-000000000671805001,https://dm.emea.cms.aldi.cx/is/content/aldiprodeu/GB%20Fallback%20Image%203-no%20text,kg,14.899999999999999
ALDI,Irish Unsmoked Large Ham Fillet,10.85,2 KG,https://www.aldi.ie/product/butchers-selection-large-ham-fillet-2kg-000000000000382153,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/1a93b752-8f11-4915-b98c-8d5d756568bf/Irish%20Unsmoked%20Large%20Ham%20Fillet,kg,5.425
ALDI,Smoked Small Half Horseshoe Ham,12.79,1.8 KG,https://www.aldi.ie/product/butchers-selection-smoked-small-half-horseshoe-ham-000000000386868001,https://dm.emea.cms.aldi.cx/is/content/aldiprodeu/GB%20Fallback%20Image%203-no%20text,kg,7.105555555555555
ALDI,Unsmoked Small Half Horseshoe Ham,12.79,1.8 KG,https://www.aldi.ie/product/butchers-selection-unsmoked-small-half-horseshoe-ham-000000000386868002,https://dm.emea.cms.aldi.cx/is/content/aldiprodeu/GB%20Fallback%20Image%203-no%20text,kg,7.105555555555555
