name,category,lat,lon
Canteen,cafe,53.2902971,-6.3632325
O'Briens Sandwich Cafe,fast_food,53.3483089,-6.4525219
Library,library,53.2906432,-6.3637476
Bar 1661,pub,53.3492625,-6.2704646
Centra,convenience,53.3509894,-6.2703826
Madigan's Bar & Grill,pub,53.3514108,-6.2497907
Apache Pizza,fast_food,53.3431333,-6.2431773
Ulster Bank,atm,53.3436003,-6.2494427
The Dragon Inn,pub,53.2880299,-6.3621864
The Waterside,pub,53.3286777,-6.3964111
,pub,53.3898897,-6.2977657
Daybreak,convenience,53.3617744,-6.2725211
Bunsen,restaurant,53.3612289,-6.2724851
Sam's Takeaway,fast_food,53.363446,-6.4911465
Macari 101,fast_food,53.3649116,-6.4881277
New Oak Wine Bar,bar,53.3636649,-6.4903025
Amber Regent,restaurant,53.3635927,-6.4901364
Spar,convenience,53.3636822,-6.4902113
Imperial,bakery,53.3646911,-6.4880562
,atm,53.3635832,-6.4901836
Castro 101 Grill,restaurant,53.3643041,-6.4883615
Da Vinci's,restaurant,53.3634249,-6.4912461
Da Vinci's Takeaway,fast_food,53.3634009,-6.4913425
Red House,fast_food,53.3647829,-6.4884864
Sodexo,cafe,53.4053456,-6.3791123
,convenience,53.4054387,-6.3785934
,atm,53.4055759,-6.3782433
,bank,53.4055823,-6.3784579
Snack Bar,cafe,53.4055119,-6.3789085
Quantum Coffeshop,cafe,53.3639758,-6.490503
Blazing Salads,cafe,53.342526,-6.2630075
The Front Bar,pub,53.3640345,-6.4887802
River Bank Restaurant,restaurant,53.3636408,-6.4887345
Buzz,cafe,53.3456051,-6.2640403
Savoy Takeaway,restaurant,53.3582142,-6.2546573
Wallace’s Asti,restaurant,53.3589749,-6.2544615
,convenience,53.3902236,-6.2977539
Subway,fast_food,53.244019,-6.1388273
Bank of Ireland,bank,53.3241611,-6.2517056
Four Star Pizza,fast_food,53.3240898,-6.2516494
Centra,convenience,53.3312256,-6.2610005
O'Brien's,cafe,53.3337956,-6.2644324
Off Beat Donut Co,cafe,53.3363395,-6.2652198
Fresh,supermarket,53.3362914,-6.2651967
Eddie Rocket's,fast_food,53.3365837,-6.2653342
Cafe Bliss,restaurant,53.3365382,-6.2648548
,restaurant,53.3373869,-6.2628815
,cafe,53.3346204,-6.2437513
Donnybrook Fair,supermarket,53.3243294,-6.2403023
Camile,restaurant,53.287097,-6.1225997
Kingsland Chef,fast_food,53.2867551,-6.1219695
Daniel's,restaurant,53.2866513,-6.121724
O'Dells,restaurant,53.2861912,-6.1187165
Three Chips,fast_food,53.277662,-6.1046906
Kung Fu Buffet,fast_food,53.3614323,-6.2730817
The Castle Team Rooms,restaurant,53.3547067,-6.2634715
Kingfisher Restaurant,restaurant,53.3518257,-6.2633561
Castleknock Kitchen,fast_food,53.3776503,-6.3773135
Ulster Bank,atm,53.3358067,-6.2572447
Dublin Business School,college,53.3405156,-6.2654387
Delizia,cafe,53.2743106,-6.1939395
Di Bella,restaurant,53.3403609,-6.4322282
Pizza Hut,restaurant,53.340405,-6.432378
Browne's,restaurant,53.3317256,-6.2159409
Mace,convenience,53.3323551,-6.2156319
AIB,atm,53.3326225,-6.215532
Canton House,fast_food,53.3398195,-6.2232104
Golden Valley Chinese Take Away,fast_food,53.2816501,-6.4652002
Burger King,fast_food,53.2918141,-6.135217
The Two Foxes,pub,53.291744,-6.1350718
Four Star Pizza,fast_food,53.2899723,-6.1309232
Michi Sushi,restaurant,53.2895428,-6.1299203
Legends of Dun Laoghaire,fast_food,53.2895689,-6.1299811
Walter’s,pub,53.2897873,-6.1300465
Giulios Take Away,fast_food,53.4028383,-6.3976574
Paidi Ogs,pub,53.4027495,-6.3974174
Spar,convenience,53.4030283,-6.3984051
Tesco,supermarket,53.2895892,-6.2676612
Thunder's Bakery,convenience,53.3692632,-6.2544402
Manifesto,restaurant,53.3238297,-6.2652564
The Corner Bakery,cafe,53.3140208,-6.2822825
Saagar,restaurant,53.3363253,-6.2634876
Ulster Bank,atm,53.2885032,-6.1992293
C. Aprile,fast_food,53.2884445,-6.1994632
Marvelot,fast_food,53.2886273,-6.1979506
Monsoon,restaurant,53.2885791,-6.1978156
Eskimo Pizza,fast_food,53.2884812,-6.1975396
AIB,atm,53.3079934,-6.2367449
Golden Olive,restaurant,53.3045603,-6.234295
SuperValu,supermarket,53.2810508,-6.3411217
EBS,bank,53.3018006,-6.1778682
Hatch Coffee,cafe,53.3015694,-6.1779105
Jack O’Rourke’s,pub,53.3015086,-6.1778326
Eddie Rocket's,fast_food,53.3014063,-6.1772275
Insomnia,cafe,53.3013609,-6.1771579
Supermac's,fast_food,53.3014922,-6.1773813
Bank of Ireland,bank,53.301256,-6.1769863
Permanent TSB,bank,53.3011877,-6.1773626
Blackrock Library,library,53.3007756,-6.1754274
Daata,restaurant,53.3005522,-6.1764163
SiSi @ Central Cafe,cafe,53.3009928,-6.1768158
Central,fast_food,53.3009645,-6.1768905
Kelly and Coopers,pub,53.3010267,-6.1772278
Link Express,convenience,53.3501116,-6.2511707
1escape Health Club,fitness_centre,53.3495491,-6.278322
Coffee & More,cafe,53.3649194,-6.4885038
Healthy Way,convenience,53.3639276,-6.4876425
Apache Pizza,fast_food,53.3642691,-6.4875335
Diep,restaurant,53.3642946,-6.4870554
Royal Evergreen Trading,convenience,53.3644208,-6.4865082
Dunnes Stores,supermarket,53.2793785,-6.4454047
Belvedere Stores,convenience,53.3593978,-6.2591066
South Dublin Credit Union,bank,53.3250409,-6.2414191
AIB,atm,53.3621034,-6.2730827
Daybreak,convenience,53.3292199,-6.2755789
Mizzoni's Pizza & Pasta Co.,fast_food,53.3228163,-6.2794292
Insomnia,cafe,53.4386353,-6.1689209
,atm,53.2830354,-6.4230593
The Dartry Health Club,sports_centre,53.3136044,-6.2611739
San Siro,fast_food,53.275221,-6.1378621
Pizza Hut,fast_food,53.274823,-6.137918
Thai Basil,restaurant,53.3473412,-6.2655602
Donuts and Coffee,cafe,53.3470275,-6.2773181
Mace,convenience,53.3324944,-6.4556032
Thai Spice,restaurant,53.3509762,-6.2511177
Dante's Pizzeria,restaurant,53.3913818,-6.3921495
Burger King,fast_food,53.3920426,-6.3911889
McDonald's,fast_food,53.3918123,-6.3907973
Eddie Rocket's,fast_food,53.3920426,-6.3913552
Subway,fast_food,53.3920926,-6.3919195
TGI Fridays,restaurant,53.3917416,-6.3925614
Leisureplex,sports_centre,53.3915867,-6.3925226
Starbucks,cafe,53.3914629,-6.3922654
Like A Coffee,cafe,53.3472251,-6.2602178
River Bar,bar,53.3469048,-6.2584016
AIB,bank,53.3490725,-6.2439215
,cafe,53.3414382,-6.2528001
Astons,cafe,53.3365569,-6.2489511
Dunne & Crescenzi,restaurant,53.3422791,-6.2566543
Kylemore,cafe,53.3530264,-6.3907174
McDonald's,fast_food,53.3532119,-6.3904243
KFC,fast_food,53.3532528,-6.3904803
Burger King,fast_food,53.3531352,-6.3908998
BBs,cafe,53.3533081,-6.3908355
,fast_food,53.3532441,-6.3910393
M&S Café,cafe,53.3538505,-6.389006
Cafe Revive,cafe,53.3542352,-6.3891548
Costa,cafe,53.3522707,-6.3913075
Nando's,restaurant,53.3526547,-6.3926602
Eddie Rocket's,fast_food,53.35255,-6.3925699
M&S Foodhall,supermarket,53.3542273,-6.3879541
